ex_block_i_gen_multdiv_fast.multdiv_i_op_quotient_q_reg\[22\] | DFFRHQX1                  | Physically Disconnected
FE_RC_145_0               | NAND2BX4                  | Physically Disconnected
FE_RC_101_0               | NAND2BX4                  | Physically Disconnected
FE_RC_65_0                | CLKAND2X12                | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19715 | NOR2X1                    | Physically Disconnected
ex_block_i_alu_i_add_76_52_g20048 | NOR2X1                    | Physically Disconnected
ex_block_i_alu_i_add_76_52_g20088 | NOR2X1                    | Physically Disconnected
FE_RC_144_0               | NAND2BX1                  | Physically Disconnected
FE_RC_100_0               | NAND2BX1                  | Physically Disconnected
FE_RC_129_0               | AOI211X4                  | Physically Disconnected
g91328                    | OAI2BB1X1                 | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19782 | OAI2BB1X1                 | Physically Disconnected
FE_RC_87_0                | OR2XL                     | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19954 | NOR2X2                    | Physically Disconnected
ex_block_i_alu_i_add_76_52_g20051 | NOR2X2                    | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19982 | OR2X1                     | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19699 | AOI21X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19777 | AOI21X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19853 | AOI21X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19894 | AOI21X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g20081 | NAND2XL                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19964 | OAI211X1                  | Physically Disconnected
g91458                    | AOI22XL                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19737 | OAI21X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19962 | OAI21X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19998 | AOI21XL                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19672 | NAND3BXL                  | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19664 | AOI31X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19806 | AOI31X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19712 | NOR2XL                    | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19754 | NOR2XL                    | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19755 | NOR2XL                    | Physically Disconnected
g91501                    | AOI22X1                   | Physically Disconnected
ex_block_i_gen_multdiv_fast.multdiv_i_op_numerator_q_reg\[13\] | DFFRHQX1                  | Physically Disconnected
ex_block_i_gen_multdiv_fast.multdiv_i_op_numerator_q_reg\[14\] | DFFRHQX1                  | Physically Disconnected
ex_block_i_gen_multdiv_fast.multdiv_i_op_numerator_q_reg\[15\] | DFFRHQX1                  | Physically Disconnected
ex_block_i_gen_multdiv_fast.multdiv_i_op_numerator_q_reg\[23\] | DFFRHQX1                  | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19686 | MXI2XL                    | Physically Disconnected
ex_block_i_alu_i_add_76_52_g20200 | OR3XL                     | Physically Disconnected
g91901                    | NOR2X1                    | Physically Disconnected
g91326                    | OAI2BB1X1                 | Physically Disconnected
g91327                    | OAI2BB1X1                 | Physically Disconnected
g91333                    | OAI2BB1X1                 | Physically Disconnected
g91899                    | NAND2XL                   | Physically Disconnected
g91035                    | OAI211X1                  | Physically Disconnected
g91473                    | AOI22XL                   | Physically Disconnected
g91467                    | AOI22X1                   | Physically Disconnected
g91499                    | AOI22X1                   | Physically Disconnected
g91500                    | AOI22X1                   | Physically Disconnected
ex_block_i_gen_multdiv_fast.multdiv_i_div_counter_q_reg\[0\] | DFFRHQX1                  | Physically Disconnected
ex_block_i_gen_multdiv_fast.multdiv_i_div_counter_q_reg\[1\] | DFFRHQX1                  | Physically Disconnected
ex_block_i_gen_multdiv_fast.multdiv_i_op_numerator_q_reg\[19\] | DFFRHQX1                  | Physically Disconnected
ex_block_i_gen_multdiv_fast.multdiv_i_op_numerator_q_reg\[21\] | DFFRHQX1                  | Physically Disconnected
ex_block_i_gen_multdiv_fast.multdiv_i_op_numerator_q_reg\[25\] | DFFRHQX1                  | Physically Disconnected
ex_block_i_gen_multdiv_fast.multdiv_i_op_quotient_q_reg\[20\] | DFFRHQX1                  | Physically Disconnected
ex_block_i_gen_multdiv_fast.multdiv_i_div_counter_q_reg\[2\] | DFFRX1                    | Physically Disconnected
ex_block_i_gen_multdiv_fast.multdiv_i_div_counter_q_reg\[3\] | DFFRX1                    | Physically Disconnected
FE_DBTC13_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_i_valid_q_0 | INVXL                     | Physically Disconnected
g68835__5115              | OAI2BB1X1                 | Physically Disconnected
g68836__7482              | OAI2BB1X1                 | Physically Disconnected
g68841__2883              | OAI2BB1X1                 | Physically Disconnected
g101405__2346             | OAI2BB1X1                 | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_add_145_138_g370 | AOI2BB1XL                 | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[17\] | SDFFQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[24\] | SDFFQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[60\] | SDFFQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[72\] | DFFHQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[80\] | DFFHQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[81\] | DFFHQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[88\] | DFFHQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[92\] | DFFHQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_err_q_reg\[2\] | DFFHQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fetch_addr_q_reg\[18\] | DFFHQX1                   | Physically Disconnected
g68894__1617              | MX2X1                     | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_add_145_138_g369 | AND2XL                    | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_add_145_138_g371 | AND2XL                    | Physically Disconnected
g101421__1705             | OAI21XL                   | Physically Disconnected
g68891__5526              | AOI22X1                   | Physically Disconnected
g68870__7098              | AOI222X1                  | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_add_145_138_g368 | AOI2BB1X1                 | Physically Disconnected
RC_CG_HIER_INST27/FE_USKC159_rc_gclk_52126 | CLKBUFX4                  | Physically Disconnected
RC_CG_HIER_INST27/FE_USKC43_rc_gclk_52126 | CLKBUFX4                  | Physically Disconnected
RC_CG_HIER_INST27/TOP_LTIELO | TIELO                     | Physically Disconnected
RC_CG_HIER_INST26/TOP_LTIELO | TIELO                     | Physically Disconnected
g68928                    | INVXL                     | Physically Disconnected
g102791                   | INVXL                     | Physically Disconnected
g103171                   | INVXL                     | Physically Disconnected
g91523                    | INVXL                     | Physically Disconnected
g91930                    | INVXL                     | Physically Disconnected
FE_RC_177_0               | INVX1                     | Physically Disconnected
g68984                    | INVX1                     | Physically Disconnected
FE_RC_176_0               | NOR2BX4                   | Physically Disconnected
g102746                   | NOR2X1                    | Physically Disconnected
g101180__6783             | NAND2X1                   | Physically Disconnected
g102486                   | NAND2X1                   | Physically Disconnected
g102577                   | NAND2X1                   | Physically Disconnected
g102744                   | NAND2X1                   | Physically Disconnected
g102749                   | NAND2X1                   | Physically Disconnected
g103268                   | NAND2BX1                  | Physically Disconnected
g101591__1705             | NOR2BX1                   | Physically Disconnected
g91886                    | NOR2BX1                   | Physically Disconnected
g102225                   | OAI2BB1X1                 | Physically Disconnected
g102372                   | OAI2BB1X1                 | Physically Disconnected
g69005__1666              | AND2X1                    | Physically Disconnected
g101156__5122             | OR2XL                     | Physically Disconnected
g101590__2802             | OR2XL                     | Physically Disconnected
g2                        | OR2XL                     | Physically Disconnected
g91306                    | AOI221X1                  | Physically Disconnected
g91334                    | AOI221X1                  | Physically Disconnected
g91269                    | AOI2BB1XL                 | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[29\] | SDFFQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[32\] | SDFFQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_err_q_reg\[0\] | DFFQXL                    | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[67\] | DFFHQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[83\] | DFFHQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[93\] | DFFHQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[65\] | DFFHQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fetch_addr_q_reg\[16\] | DFFHQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[1\] | DFFHQX1                   | Physically Disconnected
g68863__6783              | MX2X1                     | Physically Disconnected
g68892__6783              | MX2XL                     | Physically Disconnected
g68963__5115              | MX2XL                     | Physically Disconnected
g102366                   | MX2XL                     | Physically Disconnected
g91603                    | AND2XL                    | Physically Disconnected
g91257                    | OAI211X1                  | Physically Disconnected
g102649                   | NOR2XL                    | Physically Disconnected
g90945                    | NOR2XL                    | Physically Disconnected
g91590                    | NOR2XL                    | Physically Disconnected
g68857__2398              | AOI22X1                   | Physically Disconnected
g102485                   | OA22X1                    | Physically Disconnected
g68858__5107              | AOI222X1                  | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_branch_discard_q_reg\[1\] | DFFRHQX1                  | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_rdata_outstanding_q_reg\[1\] | DFFRHQX1                  | Physically Disconnected
RC_CG_HIER_INST14/FE_USKC99_rc_gclk_52098 | CLKBUFX8                  | Physically Disconnected
RC_CG_HIER_INST14/FE_USKC68_rc_gclk_52098 | CLKBUFX8                  | Physically Disconnected
RC_CG_HIER_INST14/FE_USKC47_rc_gclk_52098 | CLKBUFX8                  | Physically Disconnected
RC_CG_HIER_INST14/FE_USKC110_rc_gclk_52098 | CLKBUFX4                  | Physically Disconnected
RC_CG_HIER_INST14/FE_USKC109_rc_gclk_52098 | CLKBUFX4                  | Physically Disconnected
RC_CG_HIER_INST14/FE_USKC103_rc_gclk_52098 | CLKBUFX4                  | Physically Disconnected
RC_CG_HIER_INST14/FE_USKC101_rc_gclk_52098 | CLKBUFX4                  | Physically Disconnected
RC_CG_HIER_INST14/FE_USKC100_rc_gclk_52098 | CLKBUFX4                  | Physically Disconnected
RC_CG_HIER_INST14/FE_USKC71_rc_gclk_52098 | CLKBUFX4                  | Physically Disconnected
RC_CG_HIER_INST14/FE_USKC70_rc_gclk_52098 | CLKBUFX4                  | Physically Disconnected
RC_CG_HIER_INST14/FE_USKC50_rc_gclk_52098 | CLKBUFX4                  | Physically Disconnected
RC_CG_HIER_INST14/FE_USKC49_rc_gclk_52098 | CLKBUFX4                  | Physically Disconnected
RC_CG_HIER_INST14/FE_USKC21_rc_gclk_52098 | CLKBUFX4                  | Physically Disconnected
RC_CG_HIER_INST4/TOP_LTIELO | TIELO                     | Physically Disconnected
FE_DBTC3_n_3832           | INVXL                     | Physically Disconnected
g61584                    | INVXL                     | Physically Disconnected
g68599                    | INVXL                     | Physically Disconnected
g68630                    | INVXL                     | Physically Disconnected
g68662                    | INVXL                     | Physically Disconnected
g68848                    | INVXL                     | Physically Disconnected
g68849                    | INVX1                     | Physically Disconnected
g68986                    | INVX1                     | Physically Disconnected
g68640__2802              | NOR2X1                    | Physically Disconnected
g74426                    | NOR2X1                    | Physically Disconnected
g68746__8246              | NAND2X1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_add_88_46_g459 | NAND2X1                   | Physically Disconnected
g91843                    | NOR2BX1                   | Physically Disconnected
g68840__9945              | OAI2BB1X1                 | Physically Disconnected
g91633                    | OAI2BB1X1                 | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[19\] | SDFFQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_instr_addr_q_reg\[1\] | SDFFQX1                   | Physically Disconnected
if_stage_i_instr_rdata_c_id_o_reg\[8\] | DFFQXL                    | Physically Disconnected
if_stage_i_instr_rdata_c_id_o_reg\[15\] | DFFQXL                    | Physically Disconnected
if_stage_i_instr_rdata_alu_id_o_reg\[3\] | DFFHQX1                   | Physically Disconnected
if_stage_i_instr_rdata_alu_id_o_reg\[25\] | DFFHQX1                   | Physically Disconnected
if_stage_i_instr_rdata_id_o_reg\[16\] | DFFHQX1                   | Physically Disconnected
if_stage_i_instr_rdata_id_o_reg\[18\] | DFFHQX1                   | Physically Disconnected
if_stage_i_instr_rdata_id_o_reg\[19\] | DFFHQX1                   | Physically Disconnected
if_stage_i_instr_rdata_id_o_reg\[20\] | DFFHQX1                   | Physically Disconnected
if_stage_i_instr_rdata_id_o_reg\[8\] | DFFHQX1                   | Physically Disconnected
if_stage_i_pc_id_o_reg\[1\] | DFFHQX1                   | Physically Disconnected
if_stage_i_instr_rdata_alu_id_o_reg\[28\] | DFFQX2                    | Physically Disconnected
if_stage_i_instr_rdata_id_o_reg\[21\] | DFFQX2                    | Physically Disconnected
g74154                    | AO22XL                    | Physically Disconnected
g68637__1617              | NAND2XL                   | Physically Disconnected
g74432                    | NAND2XL                   | Physically Disconnected
g68576__6260              | NAND4XL                   | Physically Disconnected
g68649__6131              | AOI22XL                   | Physically Disconnected
g68609__9945              | OAI222X1                  | Physically Disconnected
g68676__8428              | AOI21XL                   | Physically Disconnected
g90839                    | NAND3BXL                  | Physically Disconnected
g90956                    | OAI21XL                   | Physically Disconnected
g68698__7410              | NOR2XL                    | Physically Disconnected
g68699__6417              | NOR2XL                    | Physically Disconnected
g74338                    | AOI22X1                   | Physically Disconnected
g68709__1617              | OA22X1                    | Physically Disconnected
g68886__2398              | AOI222X1                  | Physically Disconnected
g91289                    | AOI222X1                  | Physically Disconnected
g69033__6783              | NAND4BX1                  | Physically Disconnected
load_store_unit_i_addr_last_q_reg\[16\] | DFFRHQX1                  | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_add_88_46_g458 | MXI2XL                    | Physically Disconnected
if_stage_i_instr_rdata_alu_id_o_reg\[29\] | DFFHQX8                   | Physically Disconnected
RC_CG_HIER_INST14/FE_USKC108_rc_gclk_52098 | CLKBUFX4                  | Physically Disconnected
RC_CG_HIER_INST14/FE_USKC102_rc_gclk_52098 | CLKBUFX4                  | Physically Disconnected
RC_CG_HIER_INST14/FE_USKC69_rc_gclk_52098 | CLKBUFX4                  | Physically Disconnected
RC_CG_HIER_INST14/FE_USKC48_rc_gclk_52098 | CLKBUFX4                  | Physically Disconnected
RC_CG_HIER_INST0/TOP_LTIELO | TIELO                     | Physically Disconnected
g103273                   | INVXL                     | Physically Disconnected
g68837__4733              | OAI2BB1X1                 | Physically Disconnected
TOP_LTIELO_2              | TIELO                     | Physically Disconnected
TOP_LTIELO_1              | TIELO                     | Physically Disconnected
TOP_LTIELO                | TIELO                     | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[2\] | SDFFQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[9\] | SDFFQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[18\] | SDFFQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[25\] | SDFFQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[31\] | SDFFQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[34\] | SDFFQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[41\] | SDFFQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[46\] | SDFFQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[47\] | SDFFQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[30\] | SDFFQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[82\] | DFFHQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[89\] | DFFHQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[95\] | DFFHQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[94\] | DFFHQX1                   | Physically Disconnected
g68869__8246              | AOI222X1                  | Physically Disconnected
g68876__6161              | AOI222X1                  | Physically Disconnected
g68879__9945              | AOI222X1                  | Physically Disconnected
g68884__6417              | AOI222X1                  | Physically Disconnected
g68877                    | INVXL                     | Physically Disconnected
g68962__1881              | NAND2X1                   | Physically Disconnected
g68665__7410              | OAI2BB1X1                 | Physically Disconnected
g68669__5107              | OAI2BB1X1                 | Physically Disconnected
g68838__6161              | OAI2BB1X1                 | Physically Disconnected
g68839__9315              | OAI2BB1X1                 | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[10\] | SDFFQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[13\] | SDFFQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[23\] | SDFFQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[36\] | SDFFQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[38\] | SDFFQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[39\] | SDFFQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[44\] | SDFFQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[52\] | SDFFQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[54\] | SDFFQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[58\] | SDFFQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[59\] | SDFFQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[12\] | DFFQXL                    | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[74\] | DFFHQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[75\] | DFFHQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[86\] | DFFHQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[87\] | DFFHQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[90\] | DFFHQX1                   | Physically Disconnected
g68881__2346              | AOI222X1                  | Physically Disconnected
g68882__1666              | AOI222X1                  | Physically Disconnected
RC_CG_HIER_INST5/TOP_LTIELO | TIELO                     | Physically Disconnected
FE_DBTC4_n_3842           | INVXL                     | Physically Disconnected
g61586                    | INVXL                     | Physically Disconnected
g68736                    | INVXL                     | Physically Disconnected
g68847                    | INVXL                     | Physically Disconnected
g68686                    | INVX1                     | Physically Disconnected
g68779                    | INVX1                     | Physically Disconnected
g68781                    | INVX1                     | Physically Disconnected
g68793                    | INVX1                     | Physically Disconnected
g68803                    | INVX1                     | Physically Disconnected
g68831                    | INVX1                     | Physically Disconnected
g68832                    | INVX1                     | Physically Disconnected
g68856                    | INVX1                     | Physically Disconnected
g68723__9315              | NOR2X1                    | Physically Disconnected
g68739__5526              | NOR2X1                    | Physically Disconnected
g68768__6417              | NOR2X1                    | Physically Disconnected
g68771__5107              | NOR2X1                    | Physically Disconnected
g68775__5526              | NOR2X1                    | Physically Disconnected
g68776__6783              | NOR2X1                    | Physically Disconnected
g68798__9945              | NOR2X1                    | Physically Disconnected
g68741__3680              | NAND2X1                   | Physically Disconnected
g68742__1617              | NAND2X1                   | Physically Disconnected
g68744__1705              | NAND2X1                   | Physically Disconnected
g68773__4319              | NAND2X1                   | Physically Disconnected
g68811__8428              | NAND2X1                   | Physically Disconnected
g69034__3680              | NOR2BX1                   | Physically Disconnected
g68843__1666              | OAI2BB1X1                 | Physically Disconnected
g68862__5526              | OAI2BB1X1                 | Physically Disconnected
g68760__2883              | OR2XL                     | Physically Disconnected
g68747__7098              | OR2X1                     | Physically Disconnected
g68606__4733              | AOI221X1                  | Physically Disconnected
g68608__9315              | AOI221X1                  | Physically Disconnected
g68655__9315              | AOI221X1                  | Physically Disconnected
g68682__1705              | AOI221X1                  | Physically Disconnected
g68756__4733              | AOI2BB1XL                 | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[4\] | SDFFQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[6\] | SDFFQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_rdata_q_reg\[22\] | SDFFQX1                   | Physically Disconnected
g68889__4319              | AO22XL                    | Physically Disconnected
g68664__1666              | NAND2XL                   | Physically Disconnected
g68667__5477              | NAND2XL                   | Physically Disconnected
g68717__6131              | NAND2XL                   | Physically Disconnected
g68561__6417              | NAND4XL                   | Physically Disconnected
g68577__4319              | NAND3X1                   | Physically Disconnected
g68714__7098              | NAND3X1                   | Physically Disconnected
g68789__6131              | NAND3X1                   | Physically Disconnected
g74386                    | NAND3X1                   | Physically Disconnected
g68603__1881              | OAI211X1                  | Physically Disconnected
g68625__4319              | OAI211X1                  | Physically Disconnected
g68648__7098              | OAI211X1                  | Physically Disconnected
g68604__5115              | AOI22XL                   | Physically Disconnected
g68650__1881              | AOI22XL                   | Physically Disconnected
g68654__6161              | AOI22XL                   | Physically Disconnected
g68705__8428              | AOI22XL                   | Physically Disconnected
g68623__5107              | OAI31X1                   | Physically Disconnected
g68693__9315              | OAI21X1                   | Physically Disconnected
g68694__9945              | OAI21X1                   | Physically Disconnected
g68727__2346              | AOI21XL                   | Physically Disconnected
g68706__5526              | OAI22X1                   | Physically Disconnected
g68683__5122              | NAND3BXL                  | Physically Disconnected
g68728__1666              | NAND3BXL                  | Physically Disconnected
g74376                    | OAI21XL                   | Physically Disconnected
g68687__6131              | NOR3XL                    | Physically Disconnected
g74394                    | NOR2XL                    | Physically Disconnected
g69031__8428              | NOR4BX1                   | Physically Disconnected
g74288                    | OR4X1                     | Physically Disconnected
g102763                   | OAI32X1                   | Physically Disconnected
g68834                    | INVXL                     | Physically Disconnected
g68851                    | INVXL                     | Physically Disconnected
FE_RC_48_0                | INVX1                     | Physically Disconnected
g74242                    | INVX1                     | Physically Disconnected
g74269                    | INVX1                     | Physically Disconnected
g74472                    | INVX1                     | Physically Disconnected
g74115                    | NOR2X1                    | Physically Disconnected
g74264                    | NOR2X1                    | Physically Disconnected
g74272                    | NOR2X1                    | Physically Disconnected
g74273                    | NOR2X1                    | Physically Disconnected
g74367                    | NOR2X1                    | Physically Disconnected
g74372                    | NOR2X1                    | Physically Disconnected
g74388                    | NOR2X1                    | Physically Disconnected
FE_RC_49_0                | OR3X6                     | Physically Disconnected
g68826__7098              | NAND2X1                   | Physically Disconnected
g102239                   | NAND2X1                   | Physically Disconnected
g74118                    | NAND2X1                   | Physically Disconnected
g74122                    | NAND2X1                   | Physically Disconnected
g74209                    | NAND2X1                   | Physically Disconnected
g74265                    | NAND2X1                   | Physically Disconnected
g74291                    | NAND2X1                   | Physically Disconnected
g74324                    | NAND2X1                   | Physically Disconnected
g74331                    | NAND2X1                   | Physically Disconnected
g74348                    | NAND2X1                   | Physically Disconnected
g74391                    | NAND2X1                   | Physically Disconnected
g69028__5107              | NAND2BX1                  | Physically Disconnected
g74282                    | NOR2BX1                   | Physically Disconnected
FE_RC_122_0               | NAND3X2                   | Physically Disconnected
g74293                    | OAI2BB1X1                 | Physically Disconnected
g103084                   | OR2XL                     | Physically Disconnected
g74378                    | OR2XL                     | Physically Disconnected
FE_RC_47_0                | AOI211X2                  | Physically Disconnected
g74025                    | AOI221X1                  | Physically Disconnected
if_stage_i_instr_rdata_c_id_o_reg\[0\] | DFFQXL                    | Physically Disconnected
if_stage_i_instr_rdata_c_id_o_reg\[1\] | DFFQXL                    | Physically Disconnected
if_stage_i_instr_rdata_c_id_o_reg\[5\] | DFFQXL                    | Physically Disconnected
if_stage_i_instr_rdata_c_id_o_reg\[6\] | DFFQXL                    | Physically Disconnected
if_stage_i_instr_rdata_c_id_o_reg\[9\] | DFFQXL                    | Physically Disconnected
if_stage_i_instr_rdata_c_id_o_reg\[14\] | DFFQXL                    | Physically Disconnected
if_stage_i_instr_is_compressed_id_o_reg | DFFHQX1                   | Physically Disconnected
if_stage_i_instr_rdata_id_o_reg\[9\] | DFFHQX1                   | Physically Disconnected
g74095                    | NOR3BX1                   | Physically Disconnected
id_stage_i_controller_i_ADD_UNS_OP_g407 | AND2XL                    | Physically Disconnected
id_stage_i_controller_i_ADD_UNS_OP_g409 | AND2XL                    | Physically Disconnected
id_stage_i_controller_i_ADD_UNS_OP_g414 | AND2XL                    | Physically Disconnected
g74159                    | NOR3X1                    | Physically Disconnected
g74162                    | NOR3X1                    | Physically Disconnected
g74295                    | NOR3X1                    | Physically Disconnected
g74114                    | NOR3X2                    | Physically Disconnected
g68657__2883              | OAI211X1                  | Physically Disconnected
g74279                    | OAI211X1                  | Physically Disconnected
g74147                    | OAI21X1                   | Physically Disconnected
g74155                    | OAI21X1                   | Physically Disconnected
g74229                    | NAND3BXL                  | Physically Disconnected
